id;scenario;process;parameter;sector;category;specification;new;groups;input_groups;output_groups;year;unit;value
1;t_all_riga_v02;a_b_pow_flow_1_ag;capacity_inst;a;b;pow;1;;;;2021;GW;0.636706419003585
2;t_all_riga_v02;a_e_pow_flow_1_ag;capacity_inst;a;e;pow;1;;;;2021;GW;1.96116877652668
3;t_all_riga_v02;a_f_pow_flow_1_ag;capacity_inst;a;f;pow;1;;;;2021;GW;1.96116877652668
4;t_all_riga_v02;b_a_pow_flow_1_ag;capacity_inst;b;a;pow;1;;;;2021;GW;3.92233755305336
5;t_all_riga_v02;b_c_pow_flow_1_ag;capacity_inst;b;c;pow;1;;;;2021;GW;1.96116877652668
6;t_all_riga_v02;c_b_pow_flow_1_ag;capacity_inst;c;b;pow;1;;;;2021;GW;1.96116877652668
7;t_all_riga_v02;c_d_pow_flow_1_ag;capacity_inst;c;d;pow;1;;;;2021;GW;22.8339397822781
8;t_all_riga_v02;d_c_pow_flow_1_ag;capacity_inst;d;c;pow;1;;;;2021;GW;13.3773028708929
9;t_all_riga_v02;d_e_pow_flow_1_ag;capacity_inst;d;e;pow;1;;;;2021;GW;37.2036408779473
10;t_all_riga_v02;e_a_pow_flow_1_ag;capacity_inst;e;a;pow;1;;;;2021;GW;3.92233755305336
11;t_all_riga_v02;e_f_pow_flow_1_ag;capacity_inst;e;f;pow;1;;;;2021;GW;0.980584388263341
12;t_all_riga_v02;g_b_pow_flow_1_ag;capacity_inst;g;b;pow;1;;;;2021;GW;2.74563628713735
13;t_all_riga_v02;x2x_x2liquid_source_biodiesel;capacity_inst;x2x;x2liquid;source;0;;;;2021;PJ;3.581178
14;t_all_riga_v02;x2x_x2liquid_source_bioethanol;capacity_inst;x2x;x2liquid;source;0;;;;2021;PJ;0.412228
15;t_all_riga_v02;x2x_x2liquid_source_biokerosene;capacity_inst;x2x;x2liquid;source;0;;;;2021;PJ;1.506849
16;t_all_riga_v02;a_b_pow_flow_1_ag;capacity_inst;a;b;pow;1;;;;2024;GW;2.31204980269174
17;t_all_riga_v02;a_e_pow_flow_1_ag;capacity_inst;a;e;pow;1;;;;2024;GW;1.96116877652668
18;t_all_riga_v02;a_f_pow_flow_1_ag;capacity_inst;a;f;pow;1;;;;2024;GW;1.96116877652668
19;t_all_riga_v02;a_pow_combustion_ic_biogas_1_ag;capacity_inst;a;pow;combustion;1;;;;2024;GW;1.56695729806095
20;t_all_riga_v02;a_pow_combustion_st_biomass_1_ag;capacity_inst;a;pow;combustion;1;;;;2024;GW;2.52120912139517
21;t_all_riga_v02;b_a_pow_flow_1_ag;capacity_inst;b;a;pow;1;;;;2024;GW;3.92233755305336
22;t_all_riga_v02;b_c_pow_flow_1_ag;capacity_inst;b;c;pow;1;;;;2024;GW;1.96116877652668
23;t_all_riga_v02;b_pow_combustion_ic_biogas_1_ag;capacity_inst;b;pow;combustion;1;;;;2024;GW;2.82342554727436
24;t_all_riga_v02;b_pow_photovoltaic_fiel_gm_1_ag;capacity_inst;b;pow;photovoltaic;1;;;;2024;GW;90.891931760878
25;t_all_riga_v02;c_b_pow_flow_1_ag;capacity_inst;c;b;pow;1;;;;2024;GW;1.96116877652668
26;t_all_riga_v02;c_d_pow_flow_1_ag;capacity_inst;c;d;pow;1;;;;2024;GW;22.8339397822781
27;t_all_riga_v02;c_pow_combustion_ic_biogas_1_ag;capacity_inst;c;pow;combustion;1;;;;2024;GW;0.454627898760989
28;t_all_riga_v02;c_pow_combustion_st_biomass_1_ag;capacity_inst;c;pow;combustion;1;;;;2024;GW;0.824798358900282
29;t_all_riga_v02;c_pow_wind_turbine_on_1_ag;capacity_inst;c;pow;wind;1;;;;2024;GW;4.39735066537127
30;t_all_riga_v02;d_c_pow_flow_1_ag;capacity_inst;d;c;pow;1;;;;2024;GW;13.3773028708929
31;t_all_riga_v02;d_e_pow_flow_1_ag;capacity_inst;d;e;pow;1;;;;2024;GW;37.2036408779473
