id;scenario;process;parameter;sector;category;specification;new;groups;input_groups;output_groups;year;unit;value
1;t_all_tokio;a_b_pow_flow_1_ag;capacity_inst;a;b;pow;0;;;;2021;GW;3.92233755305336
2;t_all_tokio;a_e_pow_flow_1_ag;capacity_inst;a;e;pow;0;;;;2021;GW;1.96116877652668
3;t_all_tokio;a_f_pow_flow_1_ag;capacity_inst;a;f;pow;0;;;;2021;GW;1.96116877652668
4;t_all_tokio;b_a_pow_flow_1_ag;capacity_inst;b;a;pow;0;;;;2021;GW;3.92233755305336
5;t_all_tokio;b_c_pow_flow_1_ag;capacity_inst;b;c;pow;0;;;;2021;GW;1.96116877652668
6;t_all_tokio;c_b_pow_flow_1_ag;capacity_inst;c;b;pow;0;;;;2021;GW;1.96116877652668
7;t_all_tokio;c_d_pow_flow_1_ag;capacity_inst;c;d;pow;0;;;;2021;GW;7.14409133602335
8;t_all_tokio;d_c_pow_flow_1_ag;capacity_inst;d;c;pow;0;;;;2021;GW;13.3773028708929
9;t_all_tokio;d_e_pow_flow_1_ag;capacity_inst;d;e;pow;0;;;;2021;GW;30.4363190109442
10;t_all_tokio;e_a_pow_flow_1_ag;capacity_inst;e;a;pow;0;;;;2021;GW;3.92233755305336
11;t_all_tokio;e_f_pow_flow_1_ag;capacity_inst;e;f;pow;0;;;;2021;GW;0.980584388263341
12;t_all_tokio;f_e_pow_flow_1_ag;capacity_inst;f;e;pow;0;;;;2021;GW;0.980584388263341
13;t_all_tokio;g_b_pow_flow_1_ag;capacity_inst;g;b;pow;0;;;;2021;GW;2.74563628713735
14;t_all_tokio;x2x_x2liquid_source_biodiesel;capacity_inst;x2x;x2liquid;source;0;;;;2021;PJ;3.581178
15;t_all_tokio;x2x_x2liquid_source_bioethanol;capacity_inst;x2x;x2liquid;source;0;;;;2021;PJ;0.412228
16;t_all_tokio;x2x_x2liquid_source_biokerosene;capacity_inst;x2x;x2liquid;source;0;;;;2021;PJ;1.506849
17;t_all_tokio;a_b_pow_flow_1_ag;capacity_inst;a;b;pow;0;;;;2024;GW;3.92233755305336
18;t_all_tokio;a_e_pow_flow_1_ag;capacity_inst;a;e;pow;0;;;;2024;GW;1.96116877652668
19;t_all_tokio;a_f_pow_flow_1_ag;capacity_inst;a;f;pow;0;;;;2024;GW;1.96116877652668
20;t_all_tokio;a_pow_combustion_ic_biogas_1_ag;capacity_inst;a;pow;combustion;0;;;;2024;GW;1.56695729806095
21;t_all_tokio;a_pow_combustion_st_biomass_1_ag;capacity_inst;a;pow;combustion;0;;;;2024;GW;2.52120912139517
